time,2-10 Bond Spread,"SPX, SPCFD: Compare"
2018-04-05T00:00:00Z,0.53,2662.84
2018-04-06T00:00:00Z,0.5,2604.47
2018-04-09T00:00:00Z,0.49,2613.16
2018-04-10T00:00:00Z,0.48,2656.87
2018-04-11T00:00:00Z,0.47,2642.19
2018-04-12T00:00:00Z,0.49,2663.99
2018-04-13T00:00:00Z,0.45,2656.3
2018-04-16T00:00:00Z,0.44,2677.84
2018-04-17T00:00:00Z,0.41,2706.39
2018-04-18T00:00:00Z,0.45,2708.64
2018-04-19T00:00:00Z,0.48,2693.13
2018-04-20T00:00:00Z,0.5,2670.14
2018-04-23T00:00:00Z,0.49,2670.29
2018-04-24T00:00:00Z,0.52,2634.56
2018-04-25T00:00:00Z,0.54,2639.4
2018-04-26T00:00:00Z,0.51,2666.94
2018-04-27T00:00:00Z,0.47,2669.91
2018-04-30T00:00:00Z,0.46,2648.05
2018-05-01T00:00:00Z,0.47,2654.8
2018-05-02T00:00:00Z,0.48,2635.67
2018-05-03T00:00:00Z,0.45,2629.73
2018-05-04T00:00:00Z,0.44,2663.42
2018-05-07T00:00:00Z,0.46,2672.63
2018-05-08T00:00:00Z,0.46,2671.92
2018-05-09T00:00:00Z,0.46,2697.79
2018-05-10T00:00:00Z,0.43,2723.07
2018-05-11T00:00:00Z,0.43,2727.72
2018-05-14T00:00:00Z,0.45,2730.13
2018-05-15T00:00:00Z,0.5,2711.45
2018-05-16T00:00:00Z,0.51,2722.46
2018-05-17T00:00:00Z,0.54,2720.13
2018-05-18T00:00:00Z,0.51,2712.97
2018-05-21T00:00:00Z,0.48,2733.01
2018-05-22T00:00:00Z,0.47,2724.44
2018-05-23T00:00:00Z,0.48,2733.29
2018-05-24T00:00:00Z,0.48,2727.76
2018-05-25T00:00:00Z,0.45,2721.33
2018-05-29T00:00:00Z,0.45,2689.86
2018-05-30T00:00:00Z,0.42,2724.01
2018-05-31T00:00:00Z,0.43,2705.27
2018-06-01T00:00:00Z,0.42,2734.62
2018-06-04T00:00:00Z,0.42,2746.87
2018-06-05T00:00:00Z,0.43,2748.8
2018-06-06T00:00:00Z,0.45,2772.35
2018-06-07T00:00:00Z,0.43,2770.37
2018-06-08T00:00:00Z,0.43,2779.03
2018-06-11T00:00:00Z,0.44,2782
2018-06-12T00:00:00Z,0.42,2786.85
2018-06-13T00:00:00Z,0.39,2775.63
2018-06-14T00:00:00Z,0.35,2782.49
2018-06-15T00:00:00Z,0.38,2779.66
2018-06-18T00:00:00Z,0.36,2773.75
2018-06-19T00:00:00Z,0.35,2762.59
2018-06-20T00:00:00Z,0.37,2767.32
2018-06-21T00:00:00Z,0.34,2749.76
2018-06-22T00:00:00Z,0.34,2754.88
2018-06-25T00:00:00Z,0.33,2717.07
2018-06-26T00:00:00Z,0.35,2723.06
2018-06-27T00:00:00Z,0.31,2699.63
2018-06-28T00:00:00Z,0.32,2716.31
2018-06-29T00:00:00Z,0.33,2718.37
2018-07-02T00:00:00Z,0.3,2726.71
2018-07-03T00:00:00Z,0.3,2713.22
2018-07-05T00:00:00Z,0.29,2736.61
2018-07-06T00:00:00Z,0.29,2759.82
2018-07-09T00:00:00Z,0.29,2784.17
2018-07-10T00:00:00Z,0.28,2793.84
2018-07-11T00:00:00Z,0.27,2774.02
2018-07-12T00:00:00Z,0.25,2798.29
2018-07-13T00:00:00Z,0.24,2801.31
2018-07-16T00:00:00Z,0.26,2798.43
